model,domain,n,auroc,ci_lo,ci_hi,ci_w
Qwen 80B Inst,Social,250,0.6912,0.6197,0.7624,0.1427
Qwen Coder,Applied,250,0.6497,0.5765,0.7147,0.1382
Qwen Coder,Factual,250,0.7156,0.6373,0.7866,0.1493
Qwen Coder,Formal,250,0.5758,0.4569,0.6893,0.2323
Qwen Coder,Human.,250,0.7228,0.6033,0.8171,0.2138
Qwen Coder,Science,250,0.6955,0.6104,0.7893,0.179
Qwen Coder,Social,250,0.616,0.5427,0.6943,0.1515
Qwen Think,Applied,250,0.7259,0.614,0.8286,0.2146
Qwen Think,Factual,250,0.6798,0.5219,0.8147,0.2928
Qwen Think,Formal,250,0.6439,0.4481,0.8442,0.3961
Qwen Think,Human.,250,0.7144,0.5389,0.8815,0.3426
Qwen Think,Science,250,0.7568,0.6227,0.8739,0.2512
Qwen Think,Social,250,0.7676,0.6882,0.8421,0.1539
Sonnet 4,Applied,250,0.828,0.7624,0.887,0.1246
Sonnet 4,Factual,250,0.683,0.5449,0.8199,0.275
Sonnet 4,Formal,250,0.7351,0.544,0.8931,0.3491
Sonnet 4,Human.,250,0.7562,0.6217,0.8652,0.2435
Sonnet 4,Science,250,0.7857,0.6619,0.8968,0.2349
Sonnet 4,Social,250,0.7943,0.7109,0.8666,0.1557
Sonnet 4.5,Applied,250,0.8487,0.779,0.9095,0.1305
Sonnet 4.5,Factual,250,0.7092,0.5447,0.8597,0.3151
Sonnet 4.5,Formal,250,0.7525,0.4554,0.9919,0.5365
Sonnet 4.5,Human.,250,0.7149,0.4417,0.9135,0.4718
Sonnet 4.5,Science,250,0.7584,0.5801,0.9054,0.3253
Sonnet 4.5,Social,250,0.8007,0.7097,0.8869,0.1772
Sonnet 4.6,Applied,250,0.8867,0.8196,0.9366,0.117
Sonnet 4.6,Factual,250,0.78,0.6347,0.8895,0.2549
Sonnet 4.6,Formal,250,0.7877,0.5278,0.9747,0.4469
Sonnet 4.6,Human.,250,0.7598,0.5731,0.9219,0.3488
Sonnet 4.6,Science,250,0.7817,0.6046,0.9144,0.3098
Sonnet 4.6,Social,250,0.6937,0.5885,0.7843,0.1958
