short,dom,n,errors,acc,auroc_recomp,auroc,ci_lo,ci_hi,ci_w
Gemma 3 27B,Social,250,54,0.784,0.5276360544217686,0.5276,0.4685,0.5805,0.1119
Gemma 3 4B,Applied,244,118,0.5163934426229508,0.5357142857142857,0.5357,0.4822,0.5872,0.1051
Gemma 3 4B,Factual,241,65,0.7302904564315352,0.5637237762237761,0.5637,0.4888,0.6371,0.1483
Gemma 3 4B,Formal,239,131,0.45188284518828453,0.5414899632456884,0.5415,0.477,0.6067,0.1297
Gemma 3 4B,Human.,240,55,0.7708333333333334,0.5061425061425062,0.5061,0.4453,0.5657,0.1204
Gemma 3 4B,Science,241,112,0.5352697095435685,0.5656146179401994,0.5656,0.5066,0.6282,0.1216
Gemma 3 4B,Social,240,113,0.5291666666666667,0.4885373841544144,0.4885,0.4328,0.5442,0.1114
Gemma 4 31B,Applied,250,17,0.932,0.8689724816965414,0.869,0.7815,0.9409,0.1594
Gemma 4 31B,Factual,250,19,0.924,0.663362952836637,0.6634,0.5265,0.7898,0.2633
Gemma 4 31B,Formal,250,9,0.964,0.8123559243891194,0.8124,0.6464,0.9822,0.3358
Gemma 4 31B,Human.,250,11,0.956,0.7371624191707874,0.7372,0.58,0.8851,0.3051
Gemma 4 31B,Science,250,12,0.952,0.709733893557423,0.7097,0.5441,0.8719,0.3278
Gemma 4 31B,Social,250,23,0.908,0.8055927983144991,0.8056,0.7074,0.8955,0.1881
Haiku 4.5,Applied,250,30,0.88,0.84,0.84,0.7636,0.907,0.1434
Haiku 4.5,Factual,250,26,0.896,0.7202094780219781,0.7202,0.6038,0.8238,0.22
Haiku 4.5,Formal,250,17,0.932,0.8045947992931078,0.8046,0.6612,0.9272,0.266
Haiku 4.5,Human.,250,11,0.956,0.793267402054013,0.7933,0.6539,0.9042,0.2503
Haiku 4.5,Science,250,16,0.936,0.7057959401709402,0.7058,0.5549,0.8371,0.2822
Haiku 4.5,Social,250,28,0.888,0.7274774774774776,0.7275,0.6397,0.8224,0.1827
Opus 4.1,Applied,250,18,0.928,0.8375239463601531,0.8375,0.7845,0.8932,0.1087
Opus 4.1,Factual,250,11,0.956,0.6146823887409661,0.6147,0.4522,0.7798,0.3275
Opus 4.1,Formal,250,12,0.952,0.6913515406162465,0.6914,0.5197,0.8354,0.3156
Opus 4.1,Human.,250,7,0.972,0.7107583774250441,0.7108,0.4732,0.9214,0.4482
Opus 4.1,Science,250,18,0.928,0.6357758620689655,0.6358,0.5298,0.7554,0.2257
Opus 4.1,Social,250,20,0.92,0.7808695652173911,0.7809,0.6761,0.8703,0.1942
Opus 4.5,Applied,250,18,0.928,0.8207614942528735,0.8208,0.735,0.8969,0.1619
Opus 4.5,Factual,250,16,0.936,0.795405982905983,0.7954,0.6692,0.9106,0.2413
Opus 4.5,Formal,250,10,0.96,0.7866666666666666,0.7867,0.5645,0.9536,0.3891
Opus 4.5,Human.,250,8,0.968,0.678460743801653,0.6785,0.3927,0.9191,0.5263
Opus 4.5,Science,250,13,0.948,0.7645245050308342,0.7645,0.633,0.8943,0.2613
Opus 4.5,Social,250,14,0.944,0.8666767554479419,0.8667,0.7608,0.9395,0.1787
Opus 4.6,Applied,250,18,0.928,0.847102490421456,0.8471,0.7608,0.918,0.1572
Opus 4.6,Factual,250,15,0.94,0.8182978723404255,0.8183,0.6796,0.9358,0.2562
Opus 4.6,Formal,250,8,0.968,0.7427685950413223,0.7428,0.4558,0.976,0.5202
Opus 4.6,Human.,250,8,0.968,0.7040289256198347,0.704,0.419,0.9394,0.5204
Opus 4.6,Science,250,13,0.948,0.7578708211619604,0.7579,0.5952,0.8998,0.3046
